id,gen,sp,grp,en,rec,cnt,loc,lat,lon,q,length,type,rmk,file-name,date,file_path,date_iso,length_seconds
562169,Basileuterus,delattrii,birds,Chestnut-capped Warbler,Jerome Fischer,Colombia,"Mana Dulce, Cundinamarca",4.351,-74.652,no score,0:13,call,,"XC562169-Rufous-capped Warbler, call, Mana Dulce, 200524-002.mp3",2020-05-24,..\data\amazonas_audio\XC562169-Basileuterus-delattrii.mp3,2020-05-24,13
560765,Basileuterus,delattrii,birds,Chestnut-capped Warbler,Jerome Fischer,Colombia,"Mana Dulce, Cundinamarca",4.351,-74.652,no score,0:20,call,,"XC560765-Rufous-capped Warbler, 16.4.mp3",2020-04-16,..\data\amazonas_audio\XC560765-Basileuterus-delattrii.mp3,2020-04-16,20
542031,Saltator,olivascens,birds,Olivaceous Saltator,Cristhian David Gaitán García,Colombia,"Ibagué, Tolima",4.447,-75.1535,no score,0:05,song,"Archivo filtrado y acortado entre intervalos.

Individuo es escuchado en una zona arbolada en una unidad residencial",XC542031-Saltator coerulescens.mp3,2020-04-05,..\data\amazonas_audio\XC542031-Saltator-olivascens.mp3,2020-04-05,5
533294,Prinia,lepida,birds,Delicate Prinia,Alain Verneau,Oman,"Sur, Ash Sharqiyah South Governorate",22.5653,59.5066,no score,0:11,subsong,,XC533294-PriniaGracile0569.mp3,2019-12-07,..\data\amazonas_audio\XC533294-Prinia-lepida.mp3,2019-12-07,11
520027,Prinia,lepida,birds,Delicate Prinia,Roozbeh Gazdar,India,"Vadhla Dam, Moti Kathechi, Surendranagar, Gujarat",22.9146,71.9718,no score,0:19,song,,XC520027-Graceful_Prinia_NalSarovar_Xeno_Canto.mp3,2019-02-03,..\data\amazonas_audio\XC520027-Prinia-lepida.mp3,2019-02-03,19
511424,Pyriglena,maura,birds,Western Fire-eye,Bram Vogels,Ecuador,"WildSumaco Lodge, Hatun Sumaku, Cantón Archidona, Provincia de Napo",-0.623,-77.6028,no score,0:15,call,,XC511424-White-backed fire-eye 191105 bis.mp3,2019-11-05,..\data\amazonas_audio\XC511424-Pyriglena-maura.mp3,2019-11-05,15
502836,Saltator,olivascens,birds,Olivaceous Saltator,Arcadio Marin ,Colombia,"Talauta, El Peñón, Cundinamarca",5.2437,-74.3056,no score,0:04,song,"vocalizacion ligeramente editada en (Adobe Audition) para reducion de ruido y aumentar un poco el volumen, no se hicieron recortes",XC502836-Saltator coerulescens.mp3,2018-09-17,..\data\amazonas_audio\XC502836-Saltator-olivascens.mp3,2018-09-17,4
492567,Basileuterus,delattrii,birds,Chestnut-capped Warbler,David Ricardo Rodríguez-Villamil,Colombia,"Paquiló, Beltrán, Cundinamarca",4.6709,-74.7781,no score,0:18,song,,XC492567-a362. Basileuterus rufifrons. Paquiló. Cundinamarca. DRRV.mp3,2017-12-06,..\data\amazonas_audio\XC492567-Basileuterus-delattrii.mp3,2017-12-06,18
393488,Euphonia,godmani,birds,West Mexican Euphonia,Lauren Harter,Mexico,"Cañón Cieneguilla, Alamos, Sonora",26.9847,-108.9437,no score,0:17,call,"Came in to whistled imitation of Ferruginous Pygmy-Owl. Not natural intervals. The first two calls, at least, were given by a female, but more than one bird was present.",XC393488-SCEU_Alamos_14Dec2013_Harter_01.mp3,2013-12-14,..\data\amazonas_audio\XC393488-Euphonia-godmani.mp3,2013-12-14,17
766350,Scytalopus,intermedius,birds,Utcubamba Tapaculo,Guy Kirwan,Peru,"Cresta San Lorenzo, Amazonas",-5.8014,-78.0298,A,0:15,song,,"XC766350-221118_05_Utcubamba-Tapaculo_San-Lorenzo-ridge-crest,-Amazonas,-Peru_17-November-2022.wav",2022-11-17,..\data\amazonas_audio\XC766350-Scytalopus-intermedius.wav,2022-11-17,15
759237,Pomatorhinus,bornensis,birds,Sunda Scimitar Babbler,Lim Ying Hien,Malaysia,Mt. Trusmadi Forest Reserve,5.6016,116.4526,A,0:19,song,,XC759237-Chestnut-backed-Scimitar-Babbler-20220903-01-Trusmadi-edit.mp3,2022-09-03,..\data\amazonas_audio\XC759237-Pomatorhinus-bornensis.mp3,2022-09-03,19
756137,Platysmurus,aterrimus,birds,Bornean Black Magpie,Kim Chuah Lim,Malaysia,"Rainforest Discovery Center, Sepilok, Sabah, Borneo",5.8762,117.9448,A,0:04,call,,XC756137-Bornean-Black-Magpie-@-RDC-Sepilok-8.41-am-220912_2426.mp3,2022-09-12,..\data\amazonas_audio\XC756137-Platysmurus-aterrimus.mp3,2022-09-12,4
756136,Platysmurus,aterrimus,birds,Bornean Black Magpie,Kim Chuah Lim,Malaysia,"Rainforest Discovery Center, Sepilok, Sabah, Borneo",5.8762,117.9448,A,0:13,song,,XC756136-Bornean-Black-Magpie-@-RDC-Sepilok-8.40-am-220912_2425.mp3,2022-09-12,..\data\amazonas_audio\XC756136-Platysmurus-aterrimus.mp3,2022-09-12,13
754598,Pyriglena,similis,birds,Tapajos Fire-eye,JAYRSON ARAUJO DE OLIVEIRA,Brazil,"Sinop, Cascalheiras - Mato Grosso",-11.7519,-55.638,A,0:20,song,,XC754598-18-09-2022-8e21-Papa-taoca-do-tapajos.mp3,2022-09-18,..\data\amazonas_audio\XC754598-Pyriglena-similis.mp3,2022-09-18,20
741170,Alaudala,heinei,birds,Turkestan Short-toed Lark,Frank Lambert,Saudi Arabia,"سكاكا, منطقة الجوف  NNE of Al Shalbub Sakaka",30.4019,40.3832,A,0:10,flight call,,XC741170-Lesser Short-toed Lark ssp-FL flight NNE of All Shalbub Sakaka 10Dec21 8.22am LS115925a.mp3,2021-12-10,..\data\amazonas_audio\XC741170-Alaudala-heinei.mp3,2021-12-10,10
732280,Pyriglena,maura,birds,Western Fire-eye,Jacob Wijpkema,Bolivia,"Vallegrande (near  Las Juntas), Vallegrande, Departamento de Santa Cruz",-19.0508,-63.6758,A,0:18,"call, song",natural song,XC732280-220605_5650.mp3,2022-06-05,..\data\amazonas_audio\XC732280-Pyriglena-maura.mp3,2022-06-05,18
729269,Pellorneum,nigrocapitatum,birds,Malayan Black-capped Babbler,Kim Chuah Lim,Malaysia,"Panti Bird Sanctuary, Johor",1.8773,103.9181,A,0:15,call,,XC729269-Black-capped Babbler @ Panti 1138am 220603_2167.mp3,2022-06-03,..\data\amazonas_audio\XC729269-Pellorneum-nigrocapitatum.mp3,2022-06-03,15
725972,Pellorneum,nigrocapitatum,birds,Malayan Black-capped Babbler,Kim Chuah Lim,Malaysia,"Lenggor, Mersing District (near  Kahang), Johor",2.3005,103.6548,A,0:19,"call, song",,XC725972-Black-capped Babbler @ Lenggor 847am 220515_2053.mp3,2022-05-15,..\data\amazonas_audio\XC725972-Pellorneum-nigrocapitatum.mp3,2022-05-15,19
717487,Illadopsis,distans,birds,Tanzanian Illadopsis,Elia Mulungu (via Louis A. Hansen),Tanzania,"Jozani Forest NP, Kusini, Unguja South Region, Tanzania",-6.2633,39.4034,A,0:04,call,,XC717487-210108-070413_plus_00m29s_PaleBreastedIlladopsis_call_VolUpHighPass.mp3,2021-01-08,..\data\amazonas_audio\XC717487-Illadopsis-distans.mp3,2021-01-08,4
713215,Merops,cyanophrys,birds,Arabian Green Bee-eater,Guy Kirwan,Oman,Wadi Rabkut,17.515,54.202,A,0:12,call,Very quiet call notes between a pair perched on a bush,"XC713215-220311_03_Green Bee-eater_Wadi Rabkut, Dhofar, Oman_10 March 2022.mp3",2022-03-10,..\data\amazonas_audio\XC713215-Merops-cyanophrys.mp3,2022-03-10,12
688135,Prinia,lepida,birds,Delicate Prinia,Gregory Askew,Saudi Arabia,"Al Jubail, Jubail, Eastern Province",26.8077,49.5833,A,0:12,call,ID to be confirmed,XC688135-Prinia_calls_Khafra_11-19-21 (ZOOM0042).mp3,2021-11-19,..\data\amazonas_audio\XC688135-Prinia-lepida.mp3,2021-11-19,12
688128,Prinia,lepida,birds,Delicate Prinia,Gregory Askew,Saudi Arabia,"Al Jubail, Jubail, Eastern Province",27.0444,49.4884,A,0:20,"call, song",ID to be confirmed,XC688128-Prinia_song_call_Sabkhat_Al_Fasl_11-19-21 (ZOOM0031).mp3,2021-11-19,..\data\amazonas_audio\XC688128-Prinia-lepida.mp3,2021-11-19,20
688125,Prinia,lepida,birds,Delicate Prinia,Gregory Askew,Saudi Arabia,"Al Jubail, Jubail, Eastern Province",27.0444,49.4884,A,0:10,song,ID to be confirmed,XC688125-Prinia_song_Sabkhat_Al_Fasal_11-19-21 (ZOOM0026).mp3,2021-11-19,..\data\amazonas_audio\XC688125-Prinia-lepida.mp3,2021-11-19,10
682538,Pellorneum,nigrocapitatum,birds,Malayan Black-capped Babbler,Thet Zaw Naing,Myanmar,"Tanintharyi (near  Chaung-nauk-pyan), Myeik, Tanintharyi Region",11.696,99.3029,A,0:11,song,,"XC682538-Babbler, Black-caped (May15_NgaWun)1.MP3",2015-05-31,..\data\amazonas_audio\XC682538-Pellorneum-nigrocapitatum.mp3,2015-05-31,11
676129,Delichon,lagopodum,birds,Siberian House Martin,Albert Lastukhin,Russian Federation,"Khonuu, Momskiy Natsional'nyy Ulus, Respublika Sakha (Yakutiya)",66.4541,143.2354,A,0:15,"flight call, alarm on a. nisus",,"XC676129-Delichon urbicum lagopodum 210713_018, Хонуу, AA alarm on A. nisus.MP3",2018-07-13,..\data\amazonas_audio\XC676129-Delichon-lagopodum.mp3,2018-07-13,15
676104,Delichon,lagopodum,birds,Siberian House Martin,Albert Lastukhin,Russian Federation,"Khonuu, Momskiy Natsional'nyy Ulus, Respublika Sakha (Yakutiya)",66.4541,143.2353,A,0:16,call,,"XC676104-Delichon urbicum lagopodum 210711_001, Хонуу, 9-40,AA juv call.MP3",2018-07-10,..\data\amazonas_audio\XC676104-Delichon-lagopodum.mp3,2018-07-10,16
676030,Delichon,lagopodum,birds,Siberian House Martin,Albert Lastukhin,Russian Federation,"Momskiy Natsional'nyy Ulus, Sakha Republic",66.0396,144.6166,A,0:11,"alarm call, flight call",,"XC676030-Delichon urbicum lagopodum 210709_009, k.Тас Юрях, AA alarm.MP3",2021-07-09,..\data\amazonas_audio\XC676030-Delichon-lagopodum.mp3,2021-07-09,11
674750,Delichon,lagopodum,birds,Siberian House Martin,Albert Lastukhin,Russian Federation,"Momskiy Natsional'nyy Ulus, Sakha Republic",66.0396,144.6166,A,0:20,"alarm call, flight call",,"XC674750-Delichon urbicum lagopodum 210619_001, р. Мома, к. Тас-Юрях, колония 16-часов, AAA alarm.MP3",2021-06-19,..\data\amazonas_audio\XC674750-Delichon-lagopodum.mp3,2021-06-19,20
667363,Larus,brachyrhynchus,birds,Short-billed Gull,Nick Komar,United States,"Nome, Nome, Alaska",64.5011,-165.4064,A,0:15,flight call,,XC667363-AK MEGU fc 2230 6-8-2021 nome nk for xc.mp3,2021-06-08,..\data\amazonas_audio\XC667363-Larus-brachyrhynchus.mp3,2021-06-08,15
664303,Larus,brachyrhynchus,birds,Short-billed Gull,Nick Komar,United States,"Elim, Nome, Alaska",64.8907,-163.68,A,0:16,flight call,Spliced from longer clip; otherwise unmodified from original.,XC664303-AK MEGU ad fc Elim 2021-6-8 1021 Nome nk for xc.mp3,2021-06-08,..\data\amazonas_audio\XC664303-Larus-brachyrhynchus.mp3,2021-06-08,16
660626,Platysmurus,aterrimus,birds,Bornean Black Magpie,Ding Li Yong,Malaysia,"Semenggoh Nature Reserve, Bahagian Kuching, Sarawak",1.4008,110.3022,A,0:05,call,,XC660626-Black Magpie_Semenggoh_DLY.mp3,2011-10-02,..\data\amazonas_audio\XC660626-Platysmurus-aterrimus.mp3,2011-10-02,5
645629,Pomatorhinus,bornensis,birds,Sunda Scimitar Babbler,Somkiat Pakapinyo (Chai),Thailand,"KM12 Viewpoint, Bala Sector, Hala-Bala Wildlife Sanctuary",5.8107,101.8026,A,0:17,call,,XC645629-20210409_074942[1]chestnut-backed sci.mp3,2021-04-09,..\data\amazonas_audio\XC645629-Pomatorhinus-bornensis.mp3,2021-04-09,17
641716,Pyriglena,maura,birds,Western Fire-eye,Mauricio Cuellar Ramirez (@Birding.travel),Colombia,"Pava Negra Nature Reserve - Florencia, Caquetá.",1.7135,-75.7326,A,0:11,song,,XC641716-Pyriglena leuconota - Brisas.mp3,2021-04-22,..\data\amazonas_audio\XC641716-Pyriglena-maura.mp3,2021-04-22,11
632493,Basileuterus,delattrii,birds,Chestnut-capped Warbler,Mauricio Cuellar Ramirez (@Birding.travel),Colombia,"Granja Villa Luz / Guadalupe, Huila",2.0123,-75.7436,A,0:06,call,,XC632493-Basileiterus rufifrons - villa luz guadalupe.mp3,2021-03-20,..\data\amazonas_audio\XC632493-Basileuterus-delattrii.mp3,2021-03-20,6
621497,Merops,cyanophrys,birds,Arabian Green Bee-eater,Oscar Campbell,United Arab Emirates,"Lulu Island, Abu Dhabi",24.499,54.3446,A,0:14,"call, flight call",Three birds on edge of Mesquite clump; flying quite close and then perching openly. Flight call then calling when perched.,XC621497-201223_GreenBee-eater_calls_LuluIsland_OC.mp3,2020-12-23,..\data\amazonas_audio\XC621497-Merops-cyanophrys.mp3,2020-12-23,14
616440,Treron,permagnus,birds,Ryukyu Green Pigeon,Ding Li Yong,Japan,"Kinsakubaru, Amami-Oshima, Kagoshima Prefecture",28.3515,129.4517,A,0:14,song,,XC616440-Whistling Green Pigeon_Amami_DLY.mp3,2014-08-30,..\data\amazonas_audio\XC616440-Treron-permagnus.mp3,2014-08-30,14
615475,Phylloscopus,nesophilus,birds,Sulawesi Leaf Warbler,Teus Luijendijk,Indonesia,"Lore Lindu National Park, Sulawesi",-1.5159,120.2301,A,0:13,song,"Low-frequency filtered. Bird not seen, Id not 100%!",XC615475-19970808SulawesiLeafWarblerTLC17B609.mp3,1997-08-08,..\data\amazonas_audio\XC615475-Phylloscopus-nesophilus.mp3,1997-08-08,13
